file,feature,label
static/voice/Abyan/2022-05-08T14_31_27.095Z.wav,"[[-6.1494037e+02 -5.6120874e+02 -5.5379193e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.0214429e+00  2.1700497e+01  2.6143803e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.1813271e+01 -3.8743484e+01 -3.2132149e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 3.2378905e+00  4.3932648e+00  6.7961340e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 5.3653603e+00  8.0990038e+00  7.0061922e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.4252316e-01  2.6725099e+00  1.7736093e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2022-05-08T14_31_31.560Z.wav,"[[-4.75642120e+02 -4.29310181e+02 -5.05136078e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.13674484e+02  1.17325668e+02  1.08870697e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.60980701e+01  1.29081211e+01  2.07572479e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 1.07563324e-02 -7.32660145e-02  3.07804644e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.90608054e-02  2.98969187e-02  6.62356973e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.00677574e+00  1.14367414e+00  1.03758502e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",0
static/voice/Abyan/2022-05-08T14_31_36.304Z.wav,"[[-5.8703687e+02 -5.3436652e+02 -4.3686035e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 9.7348190e+01  1.2763369e+02  1.7524991e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.5871994e+01  2.4072678e+01 -1.3490631e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 6.8917954e-01  2.1423450e+00 -4.8519018e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.0285339e+00  3.3919985e+00  6.4082785e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.9832396e-01 -9.1808438e-03  8.5213795e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2022-05-08T14_31_41.377Z.wav,"[[-631.6167    -583.0889    -543.33      ...    0.           0.
     0.       ]
 [   0.          19.314922    50.061188  ...    0.           0.
     0.       ]
 [   0.         -41.323147   -38.551426  ...    0.           0.
     0.       ]
 ...
 [   0.           2.8838224    0.8547847 ...    0.           0.
     0.       ]
 [   0.           1.3596824   -1.8650212 ...    0.           0.
     0.       ]
 [   0.          -3.6096835   -8.300825  ...    0.           0.
     0.       ]]",0
static/voice/Abyan/2022-05-08T14_31_45.552Z.wav,"[[-217.63873   -139.6313    -168.23592   ...    0.           0.
     0.       ]
 [ 117.675964   139.79004    174.18024   ...    0.           0.
     0.       ]
 [ -35.56923    -42.929764   -57.20777   ...    0.           0.
     0.       ]
 ...
 [  -1.9131293   -3.3449693   -5.4887233 ...    0.           0.
     0.       ]
 [   0.6782571   -3.4671404   -7.5417495 ...    0.           0.
     0.       ]
 [   3.8475363    0.8509945   -6.9662194 ...    0.           0.
     0.       ]]",0
static/voice/Abyan/2022-05-08T14_31_49.710Z.wav,"[[-444.7176    -398.76358   -480.6208    ...    0.           0.
     0.       ]
 [ 114.64442    118.20154    111.15089   ...    0.           0.
     0.       ]
 [  15.171991    12.455048    19.319786  ...    0.           0.
     0.       ]
 ...
 [   1.0590696    1.1163868    1.9405099 ...    0.           0.
     0.       ]
 [   1.0254955    1.7489543    2.6779895 ...    0.           0.
     0.       ]
 [   1.1326734    1.27422      2.4646125 ...    0.           0.
     0.       ]]",0
static/voice/Abyan/2022-05-08T14_31_53.383Z.wav,"[[-589.45953    -500.8853     -518.9717     ...    0.
     0.            0.        ]
 [  70.76932     110.06042     104.99257    ...    0.
     0.            0.        ]
 [  39.999954     19.06962      21.656132   ...    0.
     0.            0.        ]
 ...
 [   0.6943801     0.64393044    1.1674556  ...    0.
     0.            0.        ]
 [   0.99367225    1.8196046     2.2392793  ...    0.
     0.            0.        ]
 [   0.61203414    1.6579956     1.5724635  ...    0.
     0.            0.        ]]",0
static/voice/Abyan/2022-05-08T14_31_57.392Z.wav,"[[-5.5406537e+02 -4.0110721e+02 -3.6680518e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1090289e+02  1.5217577e+02  1.6574539e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 7.2174311e+00 -2.5338055e+01 -4.3108276e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 9.0918236e+00  5.6688623e+00  1.2226186e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.6540127e+00  1.7872800e+00 -4.0092134e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.3780718e-01 -9.9663019e-01 -3.1090961e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",0
static/voice/Abyan/2022-05-08T14_32_01.000Z.wav,"[[-443.77536    -397.65158    -480.5145     ...    0.
     0.            0.        ]
 [ 116.02022     119.28796     112.87886    ...    0.
     0.            0.        ]
 [  14.217985     11.744289     17.865643   ...    0.
     0.            0.        ]
 ...
 [   1.0634859     0.8908522     1.8075461  ...    0.
     0.            0.        ]
 [   0.95408523    1.798877      1.9457237  ...    0.
     0.            0.        ]
 [   0.92655647    0.8242288     1.5982409  ...    0.
     0.            0.        ]]",0
static/voice/Abyan/2022-05-08T14_32_09.599Z.wav,"[[-412.49054   -305.97324   -293.82944   ...    0.           0.
     0.       ]
 [ 147.29013    206.99994    226.43906   ...    0.           0.
     0.       ]
 [ -62.992485   -77.74263    -73.873856  ...    0.           0.
     0.       ]
 ...
 [   1.2551455    1.611138     2.30863   ...    0.           0.
     0.       ]
 [   2.111683    -2.1725924   -1.1994214 ...    0.           0.
     0.       ]
 [   2.1872313   -2.4710946   -5.1184845 ...    0.           0.
     0.       ]]",0
